Date : 2023-02-10 00:38:45
Directory : c:\Users\wgngu\Desktop\flask_Bank_Mar\app
Total : 1183 files,  -346081 codes, -150897 comments, -69124 blanks, all -566102 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\_vendor\pyparsing\exceptions.py                          | Python           |       -120 |       -108 |        -40 |       -268 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\_vendor\pyparsing\helpers.py                             | Python           |       -511 |       -483 |        -95 |     -1,089 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\_vendor\pyparsing\results.py                             | Python           |       -388 |       -305 |        -68 |       -761 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\_vendor\pyparsing\testing.py                             | Python           |       -222 |        -75 |        -35 |       -332 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\_vendor\pyparsing\unicode.py                             | Python           |       -277 |        -32 |        -44 |       -353 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\_vendor\pyparsing\util.py                                | Python           |       -154 |        -35 |        -47 |       -236 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\_vendor\tomli\__init__.py                                | Python           |         -4 |         -4 |         -4 |        -12 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\_vendor\tomli\_parser.py                                 | Python           |       -502 |        -83 |       -107 |       -692 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\_vendor\tomli\_re.py                                     | Python           |        -63 |        -31 |        -14 |       -108 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\_vendor\tomli\_types.py                                  | Python           |         -4 |         -4 |         -3 |        -11 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\_vendor\typing_extensions.py                             | Python           |     -1,237 |       -792 |       -268 |     -2,297 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\_vendor\zipp.py                                          | Python           |       -133 |       -146 |        -51 |       -330 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\archive_util.py                                          | Python           |       -122 |        -53 |        -39 |       -214 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\build_meta.py                                            | Python           |       -253 |       -186 |        -73 |       -512 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\__init__.py                                      | Python           |         -9 |         -1 |         -3 |        -13 |
