Date : 2023-02-10 00:38:45
Directory : c:\Users\wgngu\Desktop\flask_Bank_Mar\app
Total : 1183 files,  -346081 codes, -150897 comments, -69124 blanks, all -566102 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\cli\command_context.py                                | Python           |        -20 |          0 |         -8 |        -28 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\cli\main.py                                           | Python           |        -28 |        -28 |        -15 |        -71 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\cli\main_parser.py                                    | Python           |        -79 |        -27 |        -29 |       -135 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\cli\parser.py                                         | Python           |       -196 |        -49 |        -50 |       -295 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\cli\progress_bars.py                                  | Python           |        -55 |         -4 |        -10 |        -69 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\cli\req_command.py                                    | Python           |       -361 |        -78 |        -64 |       -503 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\cli\spinners.py                                       | Python           |       -114 |        -18 |        -28 |       -160 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\cli\status_codes.py                                   | Python           |         -6 |          0 |         -1 |         -7 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\__init__.py                                  | Python           |       -106 |        -14 |        -13 |       -133 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\cache.py                                     | Python           |       -134 |        -47 |        -43 |       -224 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\check.py                                     | Python           |        -41 |         -2 |        -11 |        -54 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\completion.py                                | Python           |        -68 |        -49 |        -10 |       -127 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\configuration.py                             | Python           |       -196 |        -47 |        -40 |       -283 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\debug.py                                     | Python           |       -141 |        -14 |        -45 |       -200 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\download.py                                  | Python           |       -106 |        -18 |        -26 |       -150 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\freeze.py                                    | Python           |        -80 |         -6 |        -12 |        -98 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\hash.py                                      | Python           |        -42 |         -7 |        -11 |        -60 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\help.py                                      | Python           |        -27 |         -3 |        -12 |        -42 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\index.py                                     | Python           |        -99 |        -12 |        -28 |       -139 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\inspect.py                                   | Python           |        -77 |        -10 |        -11 |        -98 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\install.py                                   | Python           |       -690 |        -67 |       -104 |       -861 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\list.py                                      | Python           |       -280 |        -31 |        -55 |       -366 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\search.py                                    | Python           |       -135 |         -9 |        -31 |       -175 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\show.py                                      | Python           |       -142 |        -15 |        -27 |       -184 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\uninstall.py                                 | Python           |        -84 |        -11 |        -12 |       -107 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\commands\wheel.py                                     | Python           |       -156 |        -20 |        -28 |       -204 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\configuration.py                                      | Python           |       -227 |        -82 |        -66 |       -375 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\distributions\__init__.py                             | Python           |        -12 |         -5 |         -5 |        -22 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\distributions\base.py                                 | Python           |        -19 |        -14 |         -7 |        -40 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\distributions\installed.py                            | Python           |        -14 |         -5 |         -5 |        -24 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\distributions\sdist.py                                | Python           |       -113 |        -23 |        -15 |       -151 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\distributions\wheel.py                                | Python           |        -21 |         -8 |         -6 |        -35 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\exceptions.py                                         | Python           |       -382 |       -144 |       -135 |       -661 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\index\__init__.py                                     | Python           |          0 |         -2 |         -1 |         -3 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\index\collector.py                                    | Python           |       -330 |        -96 |        -80 |       -506 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\index\package_finder.py                               | Python           |       -653 |       -250 |       -123 |     -1,026 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\index\sources.py                                      | Python           |       -155 |        -30 |        -40 |       -225 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\locations\__init__.py                                 | Python           |       -346 |        -96 |        -87 |       -529 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\locations\_distutils.py                               | Python           |       -112 |        -43 |        -26 |       -181 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py                               | Python           |       -122 |        -63 |        -34 |       -219 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\locations\base.py                                     | Python           |        -45 |        -20 |        -17 |        -82 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\main.py                                               | Python           |         -4 |         -5 |         -4 |        -13 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\metadata\__init__.py                                  | Python           |        -57 |        -47 |        -24 |       -128 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\metadata\_json.py                                     | Python           |        -67 |         -7 |        -11 |        -85 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\metadata\base.py                                      | Python           |       -375 |       -237 |        -77 |       -689 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py                        | Python           |         -3 |          0 |         -2 |         -5 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py                         | Python           |        -22 |        -22 |        -12 |        -56 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py                          | Python           |       -172 |        -25 |        -28 |       -225 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py                           | Python           |       -121 |        -39 |        -29 |       -189 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py                             | Python           |       -196 |        -30 |        -45 |       -271 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\models\__init__.py                                    | Python           |          0 |         -2 |         -1 |         -3 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\models\candidate.py                                   | Python           |        -25 |         -1 |         -9 |        -35 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\models\direct_url.py                                  | Python           |       -165 |         -7 |        -41 |       -213 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\models\format_control.py                              | Python           |        -64 |         -2 |        -15 |        -81 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\models\index.py                                       | Python           |        -16 |         -4 |         -9 |        -29 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\models\installation_report.py                         | Python           |        -28 |        -19 |         -7 |        -54 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\models\link.py                                        | Python           |       -296 |       -133 |        -79 |       -508 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\models\scheme.py                                      | Python           |        -16 |         -9 |         -7 |        -32 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\models\search_scope.py                                | Python           |        -83 |        -29 |        -22 |       -134 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\models\selection_prefs.py                             | Python           |        -25 |        -20 |         -7 |        -52 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\models\target_python.py                               | Python           |        -64 |        -30 |        -17 |       -111 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\models\wheel.py                                       | Python           |        -39 |        -42 |        -12 |        -93 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\network\__init__.py                                   | Python           |          0 |         -2 |         -1 |         -3 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\network\auth.py                                       | Python           |       -193 |        -79 |        -52 |       -324 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\network\cache.py                                      | Python           |        -41 |        -12 |        -17 |        -70 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\network\download.py                                   | Python           |       -136 |        -17 |        -34 |       -187 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py                                 | Python           |       -116 |        -65 |        -30 |       -211 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\network\session.py                                    | Python           |       -329 |       -109 |        -81 |       -519 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\network\utils.py                                      | Python           |        -38 |        -48 |        -11 |        -97 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\network\xmlrpc.py                                     | Python           |        -47 |         -5 |         -9 |        -61 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\__init__.py                                | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\build\__init__.py                          | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py                     | Python           |        -88 |        -10 |        -27 |       -125 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\build\metadata.py                          | Python           |        -22 |         -9 |         -9 |        -40 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py                 | Python           |        -24 |         -9 |         -9 |        -42 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py                   | Python           |        -52 |         -8 |        -15 |        -75 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\build\wheel.py                             | Python           |        -27 |         -4 |         -7 |        -38 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py                    | Python           |        -36 |         -4 |         -7 |        -47 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py                      | Python           |        -80 |         -7 |        -16 |       -103 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\check.py                                   | Python           |        -92 |        -22 |        -36 |       -150 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\freeze.py                                  | Python           |       -209 |        -16 |        -30 |       -255 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\install\__init__.py                        | Python           |          0 |         -2 |         -1 |         -3 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py                 | Python           |        -36 |         -5 |         -7 |        -48 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\install\legacy.py                          | Python           |        -95 |         -8 |        -18 |       -121 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\install\wheel.py                           | Python           |       -482 |       -142 |       -115 |       -739 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\operations\prepare.py                                 | Python           |       -467 |       -117 |        -84 |       -668 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\pyproject.py                                          | Python           |        -83 |        -66 |        -27 |       -176 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\req\__init__.py                                       | Python           |        -71 |         -6 |        -18 |        -95 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\req\constructors.py                                   | Python           |       -361 |        -76 |        -65 |       -502 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\req\req_file.py                                       | Python           |       -353 |       -110 |        -82 |       -545 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\req\req_install.py                                    | Python           |       -695 |       -150 |        -98 |       -943 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\req\req_set.py                                        | Python           |        -56 |         -6 |        -21 |        -83 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\req\req_uninstall.py                                  | Python           |       -431 |       -116 |        -94 |       -641 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\__init__.py                                | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\base.py                                    | Python           |        -15 |          0 |         -6 |        -21 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\legacy\__init__.py                         | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py                         | Python           |       -370 |       -165 |        -66 |       -601 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__init__.py                     | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py                         | Python           |        -85 |        -26 |        -31 |       -142 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py                   | Python           |       -404 |        -63 |        -90 |       -557 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py                      | Python           |       -574 |        -82 |        -76 |       -732 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py             | Python           |        -80 |        -56 |        -20 |       -156 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py                     | Python           |       -142 |        -79 |        -28 |       -249 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py                     | Python           |        -49 |         -1 |        -19 |        -69 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py                 | Python           |       -110 |        -14 |        -43 |       -167 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py                     | Python           |       -188 |        -72 |        -37 |       -297 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\self_outdated_check.py                                | Python           |       -167 |        -28 |        -45 |       -240 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\__init__.py                                     | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\_log.py                                         | Python           |        -11 |        -18 |        -10 |        -39 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\appdirs.py                                      | Python           |        -25 |        -12 |        -16 |        -53 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\compat.py                                       | Python           |        -26 |        -22 |        -16 |        -64 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\compatibility_tags.py                           | Python           |       -108 |        -30 |        -28 |       -166 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\datetime.py                                     | Python           |         -5 |         -2 |         -5 |        -12 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\deprecation.py                                  | Python           |       -131 |        -28 |        -30 |       -189 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py                           | Python           |        -70 |        -10 |         -8 |        -88 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\distutils_args.py                               | Python           |        -30 |         -7 |         -7 |        -44 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\egg_link.py                                     | Python           |        -38 |        -27 |        -11 |        -76 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\encoding.py                                     | Python           |        -28 |         -4 |         -5 |        -37 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\entrypoints.py                                  | Python           |        -54 |        -18 |        -13 |        -85 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\filesystem.py                                   | Python           |        -93 |        -32 |        -29 |       -154 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\filetypes.py                                    | Python           |        -19 |         -3 |         -6 |        -28 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\glibc.py                                        | Python           |        -37 |        -38 |        -14 |        -89 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\hashes.py                                       | Python           |        -76 |        -40 |        -29 |       -145 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\inject_securetransport.py                       | Python           |        -16 |        -10 |        -10 |        -36 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\logging.py                                      | Python           |       -246 |        -51 |        -52 |       -349 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\misc.py                                         | Python           |       -433 |       -159 |       -132 |       -724 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\models.py                                       | Python           |        -23 |         -3 |        -14 |        -40 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\packaging.py                                    | Python           |        -21 |        -26 |        -11 |        -58 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\setuptools_build.py                             | Python           |       -114 |        -53 |        -29 |       -196 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\subprocess.py                                   | Python           |       -171 |        -66 |        -24 |       -261 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\temp_dir.py                                     | Python           |       -131 |        -71 |        -45 |       -247 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\unpacking.py                                    | Python           |       -187 |        -42 |        -29 |       -258 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\urls.py                                         | Python           |        -38 |        -12 |        -13 |        -63 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\virtualenv.py                                   | Python           |        -50 |        -36 |        -19 |       -105 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\utils\wheel.py                                        | Python           |        -70 |        -36 |        -31 |       -137 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\vcs\__init__.py                                       | Python           |        -11 |         -4 |         -1 |        -16 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\vcs\bazaar.py                                         | Python           |        -93 |         -4 |        -16 |       -113 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\vcs\git.py                                            | Python           |       -340 |       -127 |        -60 |       -527 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\vcs\mercurial.py                                      | Python           |       -134 |        -13 |        -17 |       -164 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\vcs\subversion.py                                     | Python           |       -209 |        -74 |        -42 |       -325 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py                                 | Python           |       -392 |       -224 |        -90 |       -706 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_internal\wheel_builder.py                                      | Python           |       -288 |        -49 |        -46 |       -383 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\__init__.py                                             | Python           |        -78 |        -33 |        -10 |       -121 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\__init__.py                                | Python           |         -8 |         -7 |         -4 |        -19 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py                                    | Python           |        -35 |         -7 |        -20 |        -62 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py                                 | Python           |        -83 |        -30 |        -25 |       -138 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py                                   | Python           |        -28 |        -21 |        -17 |        -66 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\__init__.py                         | Python           |         -3 |         -3 |         -4 |        -10 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py                       | Python           |       -106 |        -45 |        -38 |       -189 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\redis_cache.py                      | Python           |        -23 |         -6 |        -11 |        -40 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\compat.py                                  | Python           |        -20 |         -6 |         -7 |        -33 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py                              | Python           |       -273 |        -93 |        -74 |       -440 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py                             | Python           |        -47 |        -46 |        -19 |       -112 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py                              | Python           |        -69 |        -35 |        -36 |       -140 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py                               | Python           |       -108 |        -45 |        -38 |       -191 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\cachecontrol\wrapper.py                                 | Python           |        -25 |         -3 |         -6 |        -34 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\certifi\__init__.py                                     | Python           |         -3 |          0 |         -2 |         -5 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\certifi\__main__.py                                     | Python           |         -9 |          0 |         -4 |        -13 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\certifi\core.py                                         | Python           |        -46 |        -43 |        -20 |       -109 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\chardet\__init__.py                                     | Python           |        -50 |        -34 |        -10 |        -94 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\chardet\big5freq.py                                     | Python           |       -340 |        -43 |         -4 |       -387 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\chardet\big5prober.py                                   | Python           |        -16 |        -26 |         -6 |        -48 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\chardet\chardistribution.py                             | Python           |       -154 |        -73 |        -33 |       -260 |
